Title,Rating,# of Votes,Link
Tapie,"6,4",117,https://www.filmaffinity.com/es/film545563.html
Le Chalet,"6,4",867,https://www.filmaffinity.com/es/film210595.html
La Mantis,"6,3",2.017,https://www.filmaffinity.com/es/film751056.html
Grégory,"6,8",819,https://www.filmaffinity.com/es/film598043.html
Marianne,"6,3",3.933,https://www.filmaffinity.com/es/film860949.html
Osmosis,"5,4",751,https://www.filmaffinity.com/es/film230887.html
El bosque,"6,2",1.691,https://www.filmaffinity.com/es/film828387.html
Amor ocasional,"5,9",803,https://www.filmaffinity.com/es/film896959.html
Family Business,"6,2",452,https://www.filmaffinity.com/es/film353415.html
Mytho,"6,0",300,https://www.filmaffinity.com/es/film551822.html
Zone blanche,"6,3",1.345,https://www.filmaffinity.com/es/film562622.html
13 de noviembre: Atentados de París,"7,5",1.187,https://www.filmaffinity.com/es/film540680.html
Glacé,"5,2",467,https://www.filmaffinity.com/es/film249482.html
